@relation chwilowki

@attribute status_pozyczki {splacona_cz,splacona,odmowa,windykacja,windykacja_sp} 
@attribute rodzaj_zr_dochodu {13,12,11,17,98,99,16,15}
@attribute miesieczny_dochod_netto real
@attribute ktore_rolowanie {1,0,2,3,4,5,6} 
@attribute kwota_kredytu real
@attribute wiek numeric
@attribute plec {k,m}
@attribute okres_pobieral_dochod numeric
@attribute okres_bedzie_pobieral_dochod numeric
@attribute opoznienie_splaty numeric

@data
splacona,12,900,2,400,28,m,15,20,8
splacona_cz,11,1400,2,300,43,k,22,48,0
splacona_cz,13,1026,2,200,74,k,244,48,0
splacona_cz,11,1700,2,281.29,53,k,202,48,1
splacona_cz,11,3000,2,300,60,m,209,48,1
splacona_cz,11,763,1,300,46,k,90,48,0
splacona,99,645.31,0,400,43,k,8,12,1
splacona_cz,13,729.03,2,300,70,k,254,48,0
splacona_cz,13,1090.14,1,400,61,k,72,48,0
splacona,11,2458,0,600,61,m,144,48,0
splacona_cz,13,714,2,200,62,k,219,48,0
splacona_cz,16,1389,1,200,63,k,88,48,0
splacona_cz,13,1291.18,2,381.29,70,k,76,48,0
splacona_cz,12,1952.35,1,400,44,m,1,11,0
odmowa,17,607.95,0,300,58,m,210,48,0
splacona_cz,13,1370,1,900,59,k,73,48,0
windykacja_sp,13,665.92,2,300,65,k,122,48,300
odmowa,11,1226,0,300,26,m,2,48,0
splacona_cz,13,1170,0,400,61,k,75,48,0
splacona,11,1187.06,1,400,56,k,130,48,2
splacona_cz,17,990,2,400,50,k,69,48,0
splacona_cz,11,2080,2,500,53,m,315,48,0
splacona_cz,12,1700,2,400,54,k,52,48,0
splacona,11,1373.34,0,200,30,k,55,48,0
splacona_cz,17,1200,2,200,25,k,162,48,0
splacona_cz,11,2400,1,600,35,k,110,48,0
splacona_cz,17,1485,1,500,58,m,140,48,0
splacona_cz,12,1136.86,0,200,28,m,9,24,1
splacona_cz,13,1362,2,500,61,k,53,48,6
windykacja,11,3250,1,500,49,m,2,48,989
splacona_cz,16,1600,0,500,67,m,9,48,0
odmowa,16,730,0,300,54,m,113,48,0
splacona_cz,11,2470,2,426.61,49,k,351,48,0
windykacja,12,1040,2,400,52,k,15,19,989
splacona_cz,13,1015,2,400,64,k,106,48,4
odmowa,11,1557.5,0,700,35,k,182,48,0
splacona_cz,13,1017,2,200,68,k,158,48,0
splacona,17,547.89,1,350,56,k,53,48,13
splacona_cz,11,1800,1,600,39,k,49,48,11
splacona_cz,11,2050,0,800,33,k,26,48,5
splacona_cz,13,910,2,200,66,k,67,48,1
splacona,11,2284.23,0,200,43,m,297,48,0
splacona,11,1577.42,2,400,50,k,202,48,11
windykacja,12,855,2,600,31,k,41,48,989
splacona,12,1540,1,600,33,k,36,39,5
splacona_cz,11,2050,2,575.74,32,m,115,48,1
splacona_cz,11,2368.57,0,400,54,k,407,48,0
odmowa,17,540.62,0,300,20,k,28,48,0
odmowa,13,1875.17,0,1000,63,k,96,48,0
splacona_cz,11,4900,0,500,50,k,8,48,0
splacona_cz,13,1457,1,300,73,m,76,48,3
splacona_cz,13,1216,2,200,66,k,138,48,0
splacona_cz,13,1280,2,400,61,k,14,48,0
odmowa,99,490.99,0,400,41,k,3,8,0
splacona_cz,11,1800,2,500,49,k,50,48,3
odmowa,13,1798.71,0,800,64,m,132,48,0
windykacja,11,1110,0,600,25,m,7,48,988
splacona,13,930,2,670.73,63,k,91,48,11
windykacja,11,1500,1,500,33,m,99,48,987
windykacja_sp,11,1033,1,400,33,m,33,48,303
splacona,13,1160,1,500,61,k,75,48,3
splacona_cz,13,1244.77,2,300,58,k,36,48,4
splacona,13,930,2,200,72,k,236,48,0
splacona_cz,13,1200,2,500,70,k,116,48,16
splacona_cz,13,2015.55,0,600,69,m,108,48,5
splacona_cz,13,1085,2,400,67,k,163,48,3
splacona_cz,11,2700,2,500,30,m,61,48,2
splacona,11,980.11,2,400,34,k,42,48,10
odmowa,12,1139.48,0,500,19,m,3,20,0
splacona,13,866.46,2,200,73,k,192,48,0
splacona_cz,13,1872,2,700,58,k,32,48,2
splacona_cz,12,2673.17,2,600,51,m,109,48,5
splacona_cz,13,1400,1,400,59,k,51,48,0
splacona_cz,11,1700,1,500,36,k,194,48,5
windykacja,11,2700,1,400,35,m,5,48,987
splacona_cz,16,1770,2,500,58,m,86,48,0
splacona_cz,98,4000,2,500.8,35,k,16,48,2
splacona_cz,11,2670,2,1000,60,k,85,48,6
odmowa,13,625.86,0,250,73,m,254,48,0
splacona_cz,17,728,2,200,27,m,97,48,2
odmowa,13,757.1,0,200,67,k,195,48,0
splacona_cz,13,2113.24,1,200,64,k,58,48,0
splacona_cz,16,685,0,300,52,k,38,48,0
splacona_cz,11,1906.42,0,400,60,k,209,48,0
windykacja,13,1561.87,1,281.29,57,m,194,48,985
splacona_cz,12,984.34,1,200,53,k,15,20,0
splacona_cz,13,907,0,200,70,k,231,48,0
splacona_cz,11,1721.7,2,385.97,54,k,117,48,0
splacona,16,726,2,300,59,m,230,48,336
splacona,13,936,2,300,60,k,28,48,0
splacona_cz,13,1900,2,500,56,m,147,48,0
splacona_cz,13,1817.24,0,400,57,k,15,48,0
odmowa,98,520,0,200,33,k,26,48,0
windykacja_sp,16,1100,2,850,69,m,134,48,190
splacona_cz,11,1730.13,0,400,56,k,190,48,1
splacona_cz,11,2709.34,2,337.64,35,k,178,48,0
splacona_cz,13,1399.99,0,300,61,k,12,48,1
splacona_cz,12,1963.88,1,400,44,m,3,5,0
splacona_cz,13,1050,2,600,61,k,136,48,0
windykacja_sp,17,926,2,520.7,24,m,53,48,400
windykacja_sp,17,926,2,356.68,24,m,53,48,400
splacona_cz,11,1443,2,600,43,k,31,48,1
splacona_cz,13,1820,2,1000,61,k,66,48,0
splacona_cz,13,2100,2,1000,73,k,52,48,23
splacona,16,650.77,0,200,64,m,45,48,3
windykacja,13,784,1,300,60,k,36,48,985
splacona_cz,11,1000,2,300,30,m,54,48,3
splacona_cz,13,1026,2,300,60,k,52,48,11
splacona_cz,11,1500,1,200,57,m,392,48,1
splacona,13,1420,1,200,70,m,50,48,0
splacona,13,1217,0,400,65,m,48,48,0
splacona_cz,16,1362,2,400,53,k,26,48,0
splacona_cz,11,901,1,300,28,k,37,48,0
splacona,13,3181,0,400,69,m,48,48,0
odmowa,11,1750,0,600,33,m,6,48,0
splacona,13,1530,2,500,64,m,32,48,5
splacona_cz,12,980,2,200,31,k,7,10,1
odmowa,16,540.62,0,200,23,m,62,48,0
splacona_cz,11,3217,0,300,44,m,267,48,0
splacona_cz,13,3040,2,700,65,m,198,48,0
splacona_cz,17,1100,0,200,56,k,24,33,0
splacona_cz,11,932.34,2,200,51,k,392,48,0
splacona,11,1400,0,300,23,m,22,48,0
odmowa,13,1229.15,0,200,61,k,84,48,0
splacona_cz,13,2000,2,450,68,m,42,48,1
splacona,11,1077,2,200,55,k,180,48,0
splacona_cz,13,865,2,300,70,k,125,48,0
